  rad  n_part V_c    Disp: rad   Z         phikappa Omega Q  <Vphi>  ASYMD  
  0.1624    0   14.95   53.60    32.02    51.45     2.41     1.26       1.20      10.79      10.34      14.84
  0.1652    0   15.16   53.71    32.01    51.53     2.41     1.25       1.20      10.86      10.58      15.05
  0.1680    0   15.37   53.81    31.99    51.62     2.40     1.25       1.20      10.93      10.81      15.27
  0.1708    0   15.59   53.91    31.98    51.71     2.39     1.25       1.20      11.00      11.04      15.48
  0.1736    0   15.80   54.01    31.96    51.79     2.38     1.24       1.20      11.07      11.27      15.69
  0.1764    0   16.01   54.10    31.94    51.87     2.38     1.24       1.20      11.14      11.50      15.91
  0.1792    0   16.22   54.20    31.93    51.95     2.37     1.24       1.20      11.22      11.72      16.12
  0.1820    0   16.43   54.29    31.91    52.03     2.37     1.23       1.20      11.29      11.94      16.33
  0.1848    0   16.64   54.39    31.90    52.11     2.36     1.23       1.20      11.37      12.16      16.54
  0.1876    0   16.85   54.48    31.88    52.19     2.35     1.23       1.20      11.44      12.37      16.75
  0.1904    0   17.06   54.57    31.86    52.26     2.35     1.22       1.20      11.52      12.58      16.96
  0.1932    0   17.27   54.66    31.85    52.34     2.34     1.22       1.20      11.60      12.79      17.16
  0.1960    0   17.47   54.75    31.83    52.41     2.33     1.22       1.20      11.67      13.00      17.37
  0.1988    0   17.68   54.83    31.82    52.48     2.33     1.22       1.20      11.75      13.21      17.58
  0.2016    0   17.88   54.92    31.80    52.55     2.32     1.21       1.20      11.83      13.41      17.78
  0.2044    0   18.09   55.00    31.78    52.62     2.32     1.21       1.20      11.91      13.61      17.99
  0.2072    0   18.29   55.09    31.77    52.69     2.31     1.21       1.20      11.99      13.81      18.19
  0.2100    0   18.50   55.17    31.75    52.76     2.30     1.20       1.20      12.08      14.01      18.40
  0.2128    0   18.70   55.25    31.74    52.83     2.30     1.20       1.20      12.16      14.21      18.60
  0.2156    0   18.90   55.33    31.72    52.89     2.29     1.20       1.20      12.24      14.40      18.80
  0.2184    0   19.10   55.41    31.71    52.96     2.29     1.20       1.20      12.32      14.60      19.00
  0.2212    0   19.30   55.49    31.69    53.02     2.28     1.19       1.20      12.41      14.79      19.20
  0.2240    0   19.50   55.57    31.67    53.09     2.28     1.19       1.20      12.49      14.98      19.40
  0.2268    0   19.70   55.64    31.66    53.15     2.27     1.19       1.20      12.58      15.16      19.60
  0.2296    0   19.90   55.72    31.64    53.21     2.27     1.19       1.20      12.67      15.35      19.80
  0.2324    0   20.10   55.79    31.63    53.27     2.26     1.18       1.20      12.75      15.54      20.00
  0.2352    0   20.30   55.87    31.61    53.33     2.26     1.18       1.20      12.84      15.72      20.20
  0.2380    0   20.50   55.94    31.59    53.39     2.25     1.18       1.20      12.93      15.90      20.40
  0.2408    0   20.69   56.01    31.58    53.45     2.24     1.18       1.20      13.02      16.09      20.59
  0.2436    0   20.89   56.08    31.56    53.50     2.24     1.17       1.20      13.11      16.27      20.79
  0.2464    0   21.08   56.15    31.55    53.56     2.23     1.17       1.20      13.19      16.44      20.99
  0.2492    0   21.28   56.22    31.53    53.62     2.23     1.17       1.20      13.28      16.62      21.18
  0.2520    0   21.47   56.29    31.52    53.67     2.22     1.17       1.20      13.37      16.80      21.38
